file,page,x,y,width,height,name
base-grid.svg,1,288,199,138,44,Base Grid
01-one-snap-wire.svg,1,288,250,138,42,1-Snap Wire
02-two-snap-wire.svg,1,288,300,138,42,2-Snap Wire
03-three-snap-wire.svg,1,288,350,138,42,3-Snap Wire
04-four-snap-wire.svg,1,288,400,138,42,4-Snap Wire
05-five-snap-wire.svg,1,288,450,138,42,5-Snap Wire
06-six-snap-wire.svg,1,288,500,138,43,6-Snap Wire
07-seven-snap-wire.svg,1,287,550,140,44,7-Snap Wire
a1-antenna-coil.svg,1,288,601,138,42,Antenna Coil
b1-battery-holder.svg,1,338,651,42,42,Battery Holder
c1-capacitor-0.02uf.svg,1,288,701,138,42,0.02uF Capacitor
c2-capacitor-0.1uf.svg,1,748,199,124,42,0.1uF Capacitor
c3-capacitor-10uf.svg,1,748,250,124,42,10uF Capacitor
c4-capacitor-100uf.svg,1,748,300,124,42,100uF Capacitor
c5-capacitor-470uf.svg,1,748,350,124,42,470uF Capacitor
cv-variable-capacitor.svg,1,748,400,124,42,Variable Capacitor
d1-red-led.svg,1,748,450,124,42,Red LED
d2-green-led.svg,1,748,500,124,43,Green LED
jumper-wire-black.svg,1,748,551,124,42,Jumper Wire Black
jumper-wire-red.svg,1,748,601,124,42,Jumper Wire Red
l1-lamp-3v.svg,1,748,651,124,42,2.5V or 3V Lamp
l2-lamp-6v.svg,1,748,701,124,42,6V Lamp
m1-motor.svg,2,341,96,131,40,Motor
fan.svg,2,341,140,131,40,Fan
q1-pnp-transistor.svg,2,341,184,131,40,PNP Transistor
q2-npn-transistor.svg,2,341,228,131,40,NPN Transistor
r1-resistor-100ohm.svg,2,345,274,123,37,100 Ohm Resistor
r2-resistor-1kohm.svg,2,341,316,131,40,1 kOhm Resistor
r3-resistor-5.1kohm.svg,2,341,360,131,41,5.1 kOhm Resistor
r4-resistor-10kohm.svg,2,341,405,131,40,10 kOhm Resistor
r5-resistor-100kohm.svg,2,341,449,131,40,100 kOhm Resistor
rp-photoresistor.svg,2,341,493,131,41,Photoresistor
rv-adjustable-resistor.svg,2,341,540,131,39,Adjustable Resistor
s1-slide-switch.svg,2,341,582,131,40,Slide Switch
s2-press-switch.svg,2,345,628,123,38,Press Switch
sp-speaker.svg,2,341,671,131,40,Speaker
u1-music-ic.svg,2,341,717,131,39,Music Integrated Circuit
u2-alarm-ic.svg,2,800,96,112,40,Alarm Integrated Circuit
u3-space-war-ic.svg,2,800,140,112,40,Space War Integrated Circuit
u4-power-amplifier-ic.svg,2,800,184,112,40,Power Amplifier Integrated Circuit
u5-high-frequency-ic.svg,2,800,228,112,40,High Frequency Integrated Circuit
wc-whistle-chip.svg,2,800,272,112,40,Whistle Chip
x1-microphone.svg,2,800,316,112,40,Microphone
